# --------------------------------------------------------------------------------
#                        DisCovER
# Distance-based Covariational Protein Threading  V2020.Jan.09
# For comments, please email to bhattacharyad@auburn.edu
# --------------------------------------------------------------------------------
#      start date/time : 2020:01:09 / 15:20:07
# --------------------------------------------------------------------------------
#Template	Z_final
2ek8A1	7.42772
5woyA2	7.17794
3i6sA3	6.73932
3eifA1	6.14062
2e28A2	5.95904
4tjvA	5.77132
1y9zB1	5.76257
3t05A2	5.54861
3iibA1	5.47177
5fbtA4	5.19407
2iojA	4.90142
3bcbA3	4.63661
2m72A	4.23748
3re1A2	4.12965
4evmA	4.09634
2nuaB2	4.03185
3i43A	3.99592
1lu4A	3.96657
2hmtA	3.95894
1lssA	3.87076
2ywnA	3.86445
2jsyA	3.82761
2fpsB	3.82425
1zzoA	3.76157
3llvA	3.67892
2yp6A	3.63607
3abiA1	3.61911
5um7A	3.5877
2yxbA	3.52379
1cb7A	3.44326
3p7xA	3.39444
1vmeA2	3.35661
5f2hA2	3.35136
1id1A	3.28103
2l82A	3.17474
1xvwB	3.05901
1vlwB	3.01785
3l8eA	3.01584
2dykA	2.99036
1jr2A2	2.97914
1e5dA2	2.95665
3m9lA2	2.8868
3l8hA	2.83623
2iyfB2	2.78703
2wheA2	2.61911
2iyaA2	2.54714
5kt0A1	2.49812
4g9bA2	2.35822
3id5A1	2.28321
1hyhA1	2.1827

#DisCovER is done. First-ranked query-template alignment is available in 'top1.fasta' file.
#Running Modeller ...
# ----------------------------------------------------------------------
#        end date/time : 2020:01:09 / 15:34:54
# ----------------------------------------------------------------------
